Device index,Year,DOI,CP_Mn (kg/mol),CP_Mw (kg/mol),PDI,Solvent_1,Solvent_1_bp (C),Sovlent_1_empirical_polarity (Et),Sovlent_1_normalized_polarity (Etn),Sovlent_1_Mw,Solvent_2,Solvent_2_bp (C),Sovlent_2_empirical_polarity (Et),Sovlent_2_normalized_polarity (Etn),Sovlent_2_Mw,Concentration (g/L),Insulating Matrix,IM_concentration (mg/mL),IM_Mn (kg/mol),IM_Mw (kg/mol),IM_PDI,CP_blend,Solution_Processing_Environment,Substrate_Type,Dielectric_Material_1,Dielectric_Material_1_Thickness (nm),Dielectric_Material_2,Dielectric_Material_2_Thickness (nm),Source/Drain_Electrode_Material,Chanel_Width (μm),Chanel_Length (μm),Capacitance_Per_Unit_Area (nF/cm2),Substrate_Treatment,Deposition_Type,Spin_Rate (rpm),Spin_Time (s),Blade_Speed (mm/s),Blade_Height (um),Blade_Angle (degrees),Channel_Orientation_WRT_Coating_Direction,Stage_Temperature (C),Anneal_Temperature (C),Anneal_Time (h),Annealing Environment,Deposition_Environment,OFET_Configuration,OFET_Regime,Film_Thickness (nm),Average_OFET_Hole_Mobility (cm2/Vs),STDEV_OFET_Hole Mobility (cm2/Vs),Average_OFET_Electron_Mobility (cm2/Vs),STDEV_OFET_Electron_Mobility (cm2/Vs),Vth_Hole (V),Vth_Electron (V),Ion/Ioff,Mobility_Charaterization_Environment,SS (V/Decade),Transfer_Curve _Vds,Transfer_Curve_Vg_min (V),Transfer_Curve_Vg_max (V),Output Curve_Vg_min (V),Output_Curve _Vg_max (V),Output_Curve_Vd_min (V),Output_Curve_Vd_max (V)
1,2015,DOI: 10.1021/am507759u,12,23,1.9,C2H2Cl4,146.7,39.4,0.269,167.85,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,42.5,0.0008,NaN,0.38,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
2,2015,DOI: 10.1021/am507759u,12,23,1.9,C2H2Cl4,146.7,39.4,0.269,167.85,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,NaN,0.0001,NaN,0.64,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
3,2015,DOI: 10.1021/am507759u,12,23,1.9,C2H2Cl4,146.7,39.4,0.269,167.85,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,NaN,0.0003,NaN,0.0005,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
4,2015,DOI: 10.1021/am507759u,12,23,1.9,C2H2Cl4,146.7,39.4,0.269,167.85,NaN,NaN,NaN,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.0001,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
5,2015,DOI: 10.1021/am507759u,22.5,72,3.2,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,50,0.006,NaN,0.25,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
6,2015,DOI: 10.1021/am507759u,22.5,72,3.2,C2H2Cl4,146.7,39.4,0.269,167.85,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,40,0.009,NaN,0.3,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
7,2015,DOI: 10.1021/am507759u,22.5,72,3.2,C2H2Cl4,146.7,39.4,0.269,167.85,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,NaN,0.007,NaN,0.275,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
8,2015,DOI: 10.1021/am507759u,22.5,72,3.2,C2H2Cl4,146.7,39.4,0.269,167.85,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,NaN,0.001,NaN,0.0125,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
9,2015,DOI: 10.1021/am507759u,108.7,250,2.3,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,50,0.01,NaN,0.23,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
10,2015,DOI: 10.1021/am507759u,108.7,250,2.3,C2H2Cl4,146.7,39.4,0.269,167.85,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,40,0.009,NaN,0.2,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
11,2015,DOI: 10.1021/am507759u,108.7,250,2.3,C2H2Cl4,146.7,39.4,0.269,167.85,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,NaN,0.006,NaN,0.15,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
12,2015,DOI: 10.1021/am507759u,108.7,250,2.3,C2H2Cl4,146.7,39.4,0.269,167.85,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,NaN,0.001,NaN,0.015,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
13,2015,DOI: 10.1021/am507759u,108.7,250,2.3,C2H2Cl4,146.7,39.4,0.269,167.85,NaN,NaN,NaN,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.0001,NaN,NaN,NaN,NaN,Nitrogen,NaN,100,-20,100,NaN,NaN,NaN,NaN
14,2017,DOI: 10.1002/adfm.201604744,10,14,1.4,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,20,NaN,PEIE,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.26,NaN,NaN,NaN,100000,Nitrogen,NaN,60,-20,60,0,60,0,60
15,2017,DOI: 10.1002/adfm.201604744,10,14,1.4,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,10,NaN,PEIE,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.3,NaN,NaN,NaN,100000,Nitrogen,NaN,60,-20,60,0,60,0,60
16,2017,DOI: 10.1002/adfm.201604744,10,14,1.4,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,5,NaN,PEIE,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.26,NaN,NaN,NaN,100000,Nitrogen,NaN,60,-20,60,0,60,0,60
17,2017,DOI: 10.1002/adfm.201604744,17,38,2.23,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,20,NaN,PEIE,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.21,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-20,60,0,60,0,60
18,2017,DOI: 10.1002/adfm.201604744,17,38,2.23,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,10,NaN,PEIE,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.2,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-20,60,0,60,0,60
19,2017,DOI: 10.1002/adfm.201604744,17,38,2.23,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,5,NaN,PEIE,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.21,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-20,60,0,60,0,60
20,2017,DOI: 10.1002/adfm.201604744,30,91,3.03,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,20,NaN,PEIE,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.2,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-20,60,0,60,0,60
21,2017,DOI: 10.1002/adfm.201604744,30,91,3.03,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,10,NaN,PEIE,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.21,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-20,60,0,60,0,60
22,2017,DOI: 10.1002/adfm.201604744,30,91,3.03,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,5,NaN,PEIE,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.23,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-20,60,0,60,0,60
23,2017,DOI: 10.1002/adfm.201604744,35,124,3.5,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,20,NaN,PEIE,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.19,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-20,60,0,60,0,60
24,2017,DOI: 10.1002/adfm.201604744,35,124,3.5,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,10,NaN,PEIE,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.2,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-20,60,0,60,0,60
25,2017,DOI: 10.1002/adfm.201604744,35,124,3.5,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,5,NaN,PEIE,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.26,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-20,60,0,60,0,60
26,2017,DOI: 10.1002/adfm.201604744,41,123,3,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,20,NaN,PEIE,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.15,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-20,60,0,60,0,60
27,2017,DOI: 10.1002/adfm.201604744,41,123,3,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,10,NaN,PEIE,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.17,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-20,60,0,60,0,60
28,2017,DOI: 10.1002/adfm.201604744,41,123,3,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,5,NaN,PEIE,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.22,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-20,60,0,60,0,60
29,2018,DOI: 10.1002/aelm.201700559,NaN,NaN,NaN,C8H10,139,33.1,0.074,106.16,C10H7Cl,259.3,37,0.194,162.62,15,NaN,NaN,NaN,NaN,NaN,100,Ambient,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,20,NaN,PEIE,Spin-Coating,12000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Ambient,Ambient,TGBC,Saturation,NaN,NaN,NaN,0.29,NaN,NaN,5.2,5500,NaN,NaN,60,-20,60,0,60,0,60
30,2018,DOI: 10.1002/aelm.201700559,NaN,NaN,NaN,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,15,NaN,NaN,NaN,NaN,NaN,100,Ambient,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,20,NaN,PEIE,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Ambient,Ambient,TGBC,Saturation,NaN,NaN,NaN,0.21,NaN,NaN,4.8,5500,NaN,NaN,60,-20,60,0,60,0,60
31,2018,DOI: 10.1002/aelm.201700559,NaN,NaN,NaN,CHCl3,61.2,39.1,0.259,119.38,NaN,NaN,NaN,NaN,NaN,3.75,NaN,NaN,NaN,NaN,NaN,100,Ambient,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,20,NaN,PEIE,Spin-Coating,1000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Ambient,Ambient,TGBC,Saturation,NaN,NaN,NaN,0.43,NaN,NaN,6.5,10000,NaN,NaN,60,-20,60,0,60,0,60
32,2018,DOI: 10.1002/aelm.201700559,NaN,NaN,NaN,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,7.5,NaN,NaN,NaN,NaN,NaN,100,Ambient,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,20,NaN,PEIE,Spin-Coating,1000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Ambient,Ambient,TGBC,Saturation,NaN,NaN,NaN,0.31,NaN,NaN,5.1,55000,NaN,NaN,60,-20,60,0,60,0,60
33,2018,DOI: 10.1002/aelm.201700559,NaN,NaN,NaN,C7H8,110.6,33.9,0.099,92.14,NaN,NaN,NaN,NaN,NaN,7.5,NaN,NaN,NaN,NaN,NaN,100,Ambient,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,20,NaN,PEIE,Spin-Coating,8000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Ambient,Ambient,TGBC,Saturation,NaN,NaN,NaN,0.55,NaN,NaN,6.2,100000,NaN,NaN,60,-20,60,0,60,0,60
34,2018,DOI: 10.1002/aelm.201700559,NaN,NaN,NaN,C8H10,139,33.1,0.074,106.16,NaN,NaN,NaN,NaN,NaN,15,NaN,NaN,NaN,NaN,NaN,100,Ambient,silicon wafer,CYTOP,500,NaN,NaN,Au,10000,20,NaN,PEIE,Spin-Coating,12000,60,NaN,NaN,NaN,NaN,NaN,110,0.33,Ambient,Ambient,TGBC,Saturation,NaN,NaN,NaN,0.56,NaN,NaN,5,100000,NaN,NaN,60,-20,60,0,60,0,60
35,2020,https://dx.doi.org/10.1021/acsami.0c07385,NaN,NaN,NaN,C10H7Cl,259.3,37,0.194,162.62,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,100,NaN,glass,PMMA,500,NaN,NaN,Au,NaN,NaN,NaN,PMMA,Blade coating,NaN,NaN,2,100,8,NaN,25,200,0.5,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.05,NaN,NaN,16.69,1000,NaN,NaN,60,-10,60,0,60,0,60
36,2020,https://dx.doi.org/10.1021/acsami.0c07385,NaN,NaN,NaN,C10H7Cl,259.3,37,0.194,162.62,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,100,NaN,glass,PMMA,500,NaN,NaN,Au,NaN,NaN,NaN,PMMA,Blade coating,NaN,NaN,2,100,8,NaN,50,200,0.5,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.07,NaN,NaN,7.17,10000,NaN,NaN,60,-10,60,0,60,0,60
