Device index,Year,DOI,CP_Mn (kg/mol),CP_Mw (kg/mol),PDI,Solvent_1,Solvent_1_bp (C),Sovlent_1_empirical_polarity (Et),Sovlent_1_normalized_polarity (Etn),Sovlent_1_Mw,Solvent_2,Solvent_2_bp (C),Sovlent_2_empirical_polarity (Et),Sovlent_2_normalized_polarity (Etn),Sovlent_2_Mw,Concentration (g/L),Insulating Matrix,IM_concentration (mg/mL),IM_Mn (kg/mol),IM_Mw (kg/mol),IM_PDI,CP_blend,Solution_Processing_Environment,Substrate_Type,Dielectric_Material_1,Dielectric_Material_1_Thickness (nm),Dielectric_Material_2,Dielectric_Material_2_Thickness (nm),Source/Drain_Electrode_Material,Chanel_Width (μm),Chanel_Length (μm),Capacitance_Per_Unit_Area (nF/cm2),Substrate_Treatment,Deposition_Type,Spin_Rate (rpm),Spin_Time (s),Blade_Speed (mm/s),Blade_Height (um),Blade_Angle (degrees),Channel_Orientation_WRT_Coating_Direction,Stage_Temperature (C),Anneal_Temperature (C),Anneal_Time (h),Annealing Environment,Deposition_Environment,OFET_Configuration,OFET_Regime,Film_Thickness (nm),Average_OFET_Hole_Mobility (cm2/Vs),STDEV_OFET_Hole Mobility (cm2/Vs),Average_OFET_Electron_Mobility (cm2/Vs),STDEV_OFET_Electron_Mobility (cm2/Vs),Vth_Hole (V),Vth_Electron (V),Ion/Ioff,Mobility_Charaterization_Environment,SS (V/Decade),Transfer_Curve _Vds,Transfer_Curve_Vg_min (V),Transfer_Curve_Vg_max (V),Output Curve_Vg_min (V),Output_Curve _Vg_max (V),Output_Curve_Vd_min (V),Output_Curve_Vd_max (V)
77,2021,https://doi.org/10.1021/acs.macromol.1c01661,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,37.5,NaN,NaN,CYTOP,500,NaN,NaN,Au,10000,20,3.7,PEIE,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,0.33,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.1763,NaN,NaN,3.26,NaN,Nitrogen,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,2021,https://doi.org/10.1021/acs.macromol.1c01661,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,25,NaN,NaN,CYTOP,500,NaN,NaN,Au,10000,20,3.7,PEIE,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,0.33,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.0981,NaN,NaN,2.23,NaN,Nitrogen,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,2021,https://doi.org/10.1021/acs.macromol.1c01661,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,12.5,NaN,NaN,CYTOP,500,NaN,NaN,Au,10000,20,3.7,PEIE,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,0.33,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.0253,NaN,NaN,5.54,NaN,Nitrogen,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,2021,https://doi.org/10.1021/acs.macromol.1c01661,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,6.25,NaN,NaN,CYTOP,500,NaN,NaN,Au,10000,20,3.7,PEIE,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,0.33,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.0087,NaN,NaN,14.73,NaN,Nitrogen,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,2021,https://doi.org/10.1021/acs.macromol.1c01661,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,3.75,NaN,NaN,CYTOP,500,NaN,NaN,Au,10000,20,3.7,PEIE,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,0.33,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.0076,NaN,NaN,13.91,NaN,Nitrogen,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,2021,https://doi.org/10.1021/acs.macromol.1c01661,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,1.25,NaN,NaN,CYTOP,500,NaN,NaN,Au,10000,20,3.7,PEIE,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,0.33,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.0015,NaN,NaN,7.58,NaN,Nitrogen,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,2021,https://doi.org/10.1021/acs.macromol.1c01661,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,0.625,NaN,NaN,CYTOP,500,NaN,NaN,Au,10000,20,3.7,PEIE,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,0.33,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.0023,NaN,NaN,0.23,NaN,Nitrogen,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,2021,https://doi.org/10.1021/acs.macromol.1c01661,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,0.25,NaN,NaN,CYTOP,500,NaN,NaN,Au,10000,20,3.7,PEIE,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,0.33,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,2021,https://doi.org/10.1021/acs.macromol.1c01661,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,0.125,NaN,NaN,CYTOP,500,NaN,NaN,Au,10000,20,3.7,PEIE,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180,0.33,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,2015,https://doi.org/10.1021/acs.chemmater.5b03775,NaN,NaN,NaN,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,100,NaN,glass,PMMA,500,NaN,NaN,Au,10000,20,NaN,NaN,Spin-Coating,1500,NaN,NaN,NaN,NaN,orthogonal,NaN,200,NaN,Nitrogen,Nitrogen,TGBC,Saturation,40,NaN,NaN,0.12,NaN,NaN,NaN,NaN,Nitrogen,NaN,80,-10,80,NaN,NaN,NaN,NaN
87,2015,https://doi.org/10.1021/acs.chemmater.5b03775,NaN,NaN,NaN,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,100,NaN,glass,PMMA,500,NaN,NaN,Au,10000,20,NaN,NaN,Spin-Coating,1500,NaN,NaN,NaN,NaN,parallel,NaN,200,NaN,Nitrogen,Nitrogen,TGBC,Saturation,40,NaN,NaN,0.6,NaN,NaN,NaN,NaN,Nitrogen,NaN,80,-10,80,NaN,NaN,NaN,NaN
88,2015,https://doi.org/10.1021/acs.chemmater.5b03775,NaN,NaN,NaN,C7H8,110.6,33.9,0.099,92.14,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,100,NaN,glass,PMMA,500,NaN,NaN,Au,10000,20,NaN,NaN,Spin-Coating,1500,NaN,NaN,NaN,NaN,orthogonal,NaN,200,NaN,Nitrogen,Nitrogen,TGBC,Saturation,40,NaN,NaN,0.11,NaN,NaN,NaN,NaN,Nitrogen,NaN,80,-10,80,NaN,NaN,NaN,NaN
89,2015,https://doi.org/10.1021/acs.chemmater.5b03775,NaN,NaN,NaN,C7H8,110.6,33.9,0.099,92.14,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,100,NaN,glass,PMMA,500,NaN,NaN,Au,10000,20,NaN,NaN,Spin-Coating,1500,NaN,NaN,NaN,NaN,parallel,NaN,200,NaN,Nitrogen,Nitrogen,TGBC,Saturation,40,NaN,NaN,0.95,NaN,NaN,NaN,NaN,Nitrogen,NaN,80,-10,80,NaN,NaN,NaN,NaN
90,2010,https://doi.org/10.1063/1.3424792,NaN,NaN,NaN,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,100,NaN,glass,CYTOP,450,NaN,NaN,Au,1000,21.5,NaN,NaN,Spin-Coating,1000,90,NaN,NaN,NaN,NaN,NaN,110,5,NaN,NaN,TGBC,Saturation,160,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,60,-20,60,0,60,0,60
91,2013,https://doi.org/10.1038/srep03425,NaN,NaN,NaN,C9H12,164.7,32.9,0.068,120.19,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,100,NaN,glass or silicon wafer,PMMA,660,NaN,NaN,Au,10000,20,4.8,NaN,Spin-Coating,1000,60,NaN,NaN,NaN,NaN,NaN,120,14,Nitrogen,Nitrogen,TGBC,linear,NaN,NaN,NaN,0.242,0.08,NaN,NaN,NaN,NaN,NaN,50,-10,50,NaN,NaN,NaN,NaN
92,2013,https://doi.org/10.1038/srep03425,NaN,NaN,NaN,C9H12,164.7,32.9,0.068,120.19,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,100,NaN,glass or silicon wafer,PMMA,660,NaN,NaN,Au,10000,20,4.8,NaN,Spin-Coating,1000,60,NaN,NaN,NaN,NaN,NaN,120,14,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.75,0.495,NaN,NaN,NaN,NaN,NaN,50,-10,50,NaN,NaN,NaN,NaN
93,2013,https://doi.org/10.1038/srep03425,NaN,NaN,NaN,C7H8,110.6,33.9,0.099,92.14,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,100,NaN,glass or silicon wafer,PMMA,660,NaN,NaN,Au,10000,20,4.8,NaN,Spin-Coating,1000,60,NaN,NaN,NaN,NaN,NaN,120,14,Nitrogen,Nitrogen,TGBC,linear,NaN,NaN,NaN,0.279,0.109,NaN,NaN,NaN,NaN,NaN,50,-10,50,NaN,NaN,NaN,NaN
94,2013,https://doi.org/10.1038/srep03425,NaN,NaN,NaN,C7H8,110.6,33.9,0.099,92.14,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,100,NaN,glass or silicon wafer,PMMA,660,NaN,NaN,Au,10000,20,4.8,NaN,Spin-Coating,1000,60,NaN,NaN,NaN,NaN,NaN,120,14,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.73,0.37,NaN,NaN,NaN,NaN,NaN,50,-10,50,NaN,NaN,NaN,NaN
95,2013,https://doi.org/10.1038/srep03425,NaN,NaN,NaN,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,100,NaN,glass or silicon wafer,PMMA,660,NaN,NaN,Au,10000,20,4.8,NaN,Spin-Coating,1000,60,NaN,NaN,NaN,NaN,NaN,120,14,Nitrogen,Nitrogen,TGBC,linear,NaN,NaN,NaN,0.071,0.025,NaN,NaN,NaN,NaN,NaN,50,-10,50,NaN,NaN,NaN,NaN
96,2013,https://doi.org/10.1038/srep03425,NaN,NaN,NaN,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,100,NaN,glass or silicon wafer,PMMA,660,NaN,NaN,Au,10000,20,4.8,NaN,Spin-Coating,1000,60,NaN,NaN,NaN,NaN,NaN,120,14,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.095,0.05,NaN,NaN,NaN,NaN,NaN,50,-10,50,NaN,NaN,NaN,NaN
97,2013,https://doi.org/10.1038/srep03425,NaN,NaN,NaN,C10H7Cl,259.3,37,0.194,162.62,CHCl3,61.2,39.1,0.259,119.38,10,NaN,NaN,NaN,NaN,NaN,100,NaN,glass or silicon wafer,PMMA,660,NaN,NaN,Au,10000,20,4.8,NaN,Spin-Coating,1000,60,NaN,NaN,NaN,NaN,NaN,120,14,Nitrogen,Nitrogen,TGBC,linear,NaN,NaN,NaN,0.015,0.005,NaN,NaN,NaN,NaN,NaN,50,-10,50,NaN,NaN,NaN,NaN
98,2013,https://doi.org/10.1038/srep03425,NaN,NaN,NaN,C10H7Cl,259.3,37,0.194,162.62,CHCl3,61.2,39.1,0.259,119.38,10,NaN,NaN,NaN,NaN,NaN,100,NaN,glass or silicon wafer,PMMA,660,NaN,NaN,Au,10000,20,4.8,NaN,Spin-Coating,1000,60,NaN,NaN,NaN,NaN,NaN,120,14,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.02,0.005,NaN,NaN,NaN,NaN,NaN,50,-10,50,NaN,NaN,NaN,NaN
99,2014,https://doi.org/10.1039/C4TC00390J,46,82.8,1.8,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,CYTOP,NaN,NaN,NaN,Au,500,50,3.5,NaN,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ambient,TGBC,Saturation,NaN,NaN,NaN,0.15,NaN,NaN,NaN,1000000,Ambient,NaN,60,-60,60,0,60,0,60
100,2014,https://doi.org/10.1039/C4TC00390J,10.2,48,4.7,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,CYTOP,NaN,NaN,NaN,Au,500,50,3.5,NaN,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ambient,TGBC,Saturation,NaN,NaN,NaN,0.195,NaN,NaN,NaN,1000000,Ambient,NaN,60,-60,60,0,60,0,60
101,2014,https://doi.org/10.1039/C4TC00390J,46,82.8,1.8,C8H10,138.4,33.1,0.074,138.4,NaN,NaN,NaN,NaN,NaN,0.01,NaN,NaN,NaN,NaN,NaN,100,NaN,PET,CYTOP,2000,NaN,NaN,Au,30000,20,3.5,NaN,Role to role,NaN,NaN,3,NaN,NaN,NaN,NaN,110,5,NaN,NaN,TGBC,linear,NaN,NaN,NaN,0.037,NaN,NaN,22.8,1250,NaN,NaN,60,-60,60,0,60,0,60
102,2014,https://doi.org/10.1039/C4TC00390J,46,82.8,1.8,C8H10,138.4,33.1,0.074,138.4,NaN,NaN,NaN,NaN,NaN,0.01,NaN,NaN,NaN,NaN,NaN,100,NaN,PET,CYTOP,2000,NaN,NaN,Au,30000,20,3.5,PEIE,Role to role,NaN,NaN,3,NaN,NaN,NaN,NaN,110,5,NaN,NaN,TGBC,linear,NaN,NaN,NaN,0.086,NaN,NaN,10.6,30,NaN,NaN,60,-60,60,0,60,0,60
103,2014,https://doi.org/10.1039/C4TC00390J,46,82.8,1.8,C8H10,138.4,33.1,0.074,138.4,NaN,NaN,NaN,NaN,NaN,0.01,NaN,NaN,NaN,NaN,NaN,100,NaN,PET,CYTOP,2000,NaN,NaN,Au,30000,20,3.5,NaN,Role to role,NaN,NaN,3,NaN,NaN,NaN,NaN,110,5,NaN,NaN,TGBC,Saturation,NaN,NaN,NaN,0.075,NaN,NaN,22.8,1250,NaN,NaN,60,-60,60,0,60,0,60
104,2014,https://doi.org/10.1039/C4TC00390J,46,82.8,1.8,C8H10,138.4,33.1,0.074,138.4,NaN,NaN,NaN,NaN,NaN,0.01,NaN,NaN,NaN,NaN,NaN,100,NaN,PET,CYTOP,2000,NaN,NaN,Au,30000,20,3.5,PEIE,Role to role,NaN,NaN,3,NaN,NaN,NaN,NaN,110,5,NaN,NaN,TGBC,Saturation,NaN,NaN,NaN,0.08,NaN,NaN,10.6,30,NaN,NaN,60,-60,60,0,60,0,60
105,2014,https://doi.org/10.1039/C4TC00390J,10.2,48,4.7,C8H10,138.4,33.1,0.074,138.4,NaN,NaN,NaN,NaN,NaN,0.01,NaN,NaN,NaN,NaN,NaN,100,NaN,PET,CYTOP,2000,NaN,NaN,Au,30000,20,3.5,NaN,Role to role,NaN,NaN,3,NaN,NaN,NaN,NaN,110,5,NaN,NaN,TGBC,linear,NaN,NaN,NaN,0.035,NaN,NaN,20,2003,NaN,NaN,60,-60,60,0,60,0,60
106,2014,https://doi.org/10.1039/C4TC00390J,10.2,48,4.7,C8H10,138.4,33.1,0.074,138.4,NaN,NaN,NaN,NaN,NaN,0.01,NaN,NaN,NaN,NaN,NaN,100,NaN,PET,CYTOP,2000,NaN,NaN,Au,30000,20,3.5,PEIE,Role to role,NaN,NaN,3,NaN,NaN,NaN,NaN,110,5,NaN,NaN,TGBC,linear,NaN,NaN,NaN,0.08,NaN,NaN,9.9,61,NaN,NaN,60,-60,60,0,60,0,60
107,2014,https://doi.org/10.1039/C4TC00390J,10.2,48,4.7,C8H10,138.4,33.1,0.074,138.4,NaN,NaN,NaN,NaN,NaN,0.01,NaN,NaN,NaN,NaN,NaN,100,NaN,PET,CYTOP,2000,NaN,NaN,Au,30000,20,3.5,NaN,Role to role,NaN,NaN,3,NaN,NaN,NaN,NaN,110,5,NaN,NaN,TGBC,Saturation,NaN,NaN,NaN,0.077,NaN,NaN,20,2003,NaN,NaN,60,-60,60,0,60,0,60
108,2014,https://doi.org/10.1039/C4TC00390J,10.2,48,4.7,C8H10,138.4,33.1,0.074,138.4,NaN,NaN,NaN,NaN,NaN,0.01,NaN,NaN,NaN,NaN,NaN,100,NaN,PET,CYTOP,2000,NaN,NaN,Au,30000,20,3.5,PEIE,Role to role,NaN,NaN,3,NaN,NaN,NaN,NaN,110,5,NaN,NaN,TGBC,Saturation,NaN,NaN,NaN,0.052,NaN,NaN,9.9,61,NaN,NaN,60,-60,60,0,60,0,60
109,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,100,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,1.25,NaN,NaN,4.6,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
110,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,87.5,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,1.18,NaN,NaN,5.5,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
111,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,75,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.94,NaN,NaN,5.09,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
112,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,62.5,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.68,NaN,NaN,8.29,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
113,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,50,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.52,NaN,NaN,5.74,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
114,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,37.5,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.405,NaN,NaN,8.21,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
115,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,25,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.271,NaN,NaN,7.83,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
116,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,12.5,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.124,NaN,NaN,6.62,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
